owner_code	date	held_shares	change
bbt-corp-9729	2017-12-31	94776	921
creative-planning-872574	2017-12-31	93917	-6421
group-one-trading-lp-127309	2017-12-31	91098	-174962
kayak-investment-partners-llc-1015425	2017-12-31	90146	-20600
cavalry-management-group-llc-821613	2017-12-31	87135	-17814
zurich-insurance-group-ltdfi-95279	2017-12-31	86473	25907
tiger-legatus-capital-management-llc-899687	2017-12-31	85000	30000
credit-agricole-s-a-380523	2017-12-31	84500	-2924529
us-bancorp-de-11930	2017-12-31	83137	17965
ing-groep-nv-9340	2017-12-31	82676	16179
corvex-management-lp-868923	2017-12-31	82000	82000
meag-munich-ergo-kapitalanlagegesellschaft-mbh-87400	2017-12-31	80900	-18600
handelsinvest-investeringsforvaltning-986672	2017-12-31	80650	-100
mt-bank-corp-16919	2017-12-31	80469	13011
white-elm-capital-llc-798001	2017-12-31	79200	48400
leonetti--associates-llc-778359	2017-12-31	78010	1000
perpetual-ltd-970031	2017-12-31	77840	593
kemnay-advisory-services-inc-899825	2017-12-31	77645	-2350
vernier-capital-partners-lp-987125	2017-12-31	77400	5700
steward-partners-investment-advisory-llc-1038295	2017-12-31	76740	5460
tiger-pacific-capital-lp-986797	2017-12-31	76310	-21500
kiwi-wealth-investments-limited-partnership-887610	2017-12-31	76124	76124
essex-investment-management-co-llc-34633	2017-12-31	76019	-2743
first-personal-financial-services-957683	2017-12-31	75789	534
caxton-associates-lp-63120	2017-12-31	75045	43864
lombard-odier-asset-management-usa-corp-828731	2017-12-31	75000	-25000
liberty-mutual-group-asset-management-inc-867863	2017-12-31	73332	-4762
scotia-capital-inc-682750	2017-12-31	72550	14195
main-street-research-llc-848364	2017-12-31	72400	2126
suffolk-capital-management-llc-64973	2017-12-31	71705	-11601
harvey-capital-management-inc-82874	2017-12-31	71514	-1551
advisor-group-inc-1001372	2017-12-31	71264	10598
cambridge-investment-research-advisors-inc-770672	2017-12-31	71243	4923
todd-asset-management-llc-62715	2017-12-31	71013	-2130
