owner_code	date	held_shares	change
nikko-asset-management-americas-inc-820913	2017-12-31	334000	99300
oakbrook-investments-llc-63327	2017-12-31	329698	86330
sarasin--partners-llp-847069	2017-12-31	327610	-2836
burney-co-63569	2017-12-31	326550	36542
salem-investment-counselors-inc-40357	2017-12-31	324692	144
windward-capital-management-co-ca-699776	2017-12-31	322932	2132
oak-ridge-investments-llc-81188	2017-12-31	319783	-13981
kentucky-retirement-systems-920423	2017-12-31	316618	-3518
bridges-investment-management-inc-84223	2017-12-31	313218	-1968
destination-wealth-management-622011	2018-03-31	313025	23807
global-thematic-partners-llc-847461	2017-12-31	312851	-16098
avalon-advisors-llc-400043	2017-12-31	312144	-2111
heritage-investors-management-corp-63418	2017-12-31	311325	-3680
contrarius-investment-management-ltd-821310	2017-12-31	311056	-371242
louisiana-state-employees-retirement-system-926400	2017-12-31	310800	-11700
washington-trust-co-63898	2017-12-31	310309	4584
locust-wood-capital-advisers-llc-696836	2017-12-31	309021	115230
cs-mckee-lp-65678	2017-12-31	302190	-48640
palladium-partners-llc-797728	2017-12-31	301554	-13415
ameritas-investment-partners-inc-63021	2017-12-31	295257	-21173
rmb-capital-management-llc-699297	2017-12-31	293452	-24582
personal-capital-advisors-corp-924256	2017-12-31	293308	15122
vaughan-nelson-investment-management-lp-64746	2017-12-31	292753	7309
citadel-advisors-llc-772640	2017-12-31	292658	-180248
parsec-financial-management-inc-699303	2017-12-31	292601	-14
bristol-john-w--co-inc-ny-42874	2017-12-31	292257	-16235
daiwa-securities-group-inc-820045	2017-12-31	292158	24685
pennsylvania-trust-co-891812	2018-03-31	290407	1847
parus-finance-uk-ltd-938048	2017-12-31	287865	-213735
westwood-holdings-group-inc-97030	2017-12-31	287854	-27052
ifp-advisors-inc-986677	2017-12-31	287713	-70671
steward-partners-investment-advisory-llc-1038295	2017-12-31	285924	55874
westend-advisors-llc-699397	2017-12-31	284451	-52693
lockheed-martin-investment-management-co-13825	2017-12-31	280970	103230
northeast-investment-management-63262	2017-12-31	280233	-2939
cetera-advisor-networks-llc-872744	2017-12-31	279677	-16510
origin-asset-management-llp-821469	2017-12-31	279630	116800
contour-asset-management-llc-847841	2017-12-31	279519	279519
front-barnett-associates-llc-62880	2017-12-31	279182	-6753
livforsakringsbolaget-skandia-omsesidigt-881127	2018-03-31	278929	700
pacer-advisors-inc-942395	2017-12-31	274186	54826
her-majesty-the-queen-in-right-of-the-province-of-alberta-as-804398	2017-12-31	273800	16200
dana-investment-advisors-inc-772052	2017-12-31	273567	-7083
first-national-bank-of-omaha-62450	2017-12-31	272632	-7772
investment-house-llc-899653	2017-12-31	271539	-3900
ls-investment-advisors-llc-797727	2017-12-31	271410	-3802
